116,273369490,EXPERT 1            ,UBEM6,9698408,40,20,2020-02-11 09:43:29.537
117,273370050,SBORSHCHIK-4        ,UBBN7  ,,35,7,2020-02-11 09:58:26.073
118,273370270,GERMES,--,,34,15,2019-10-19 14:52:01.153
119,273370520,SCHS2017,"",8839421,25,6,2020-02-11 09:59:48.110
120,273370910,SIRIUS / PT82001    ,UBOM3 ,0,25,10,2019-11-07 14:57:56.053
121,273371350,ALMAZ,-------,,20,5,2020-02-11 09:48:00.680
122,273371630,NORD,-----,,35,9,2020-02-11 09:58:20.320
123,273371720,ADMIRAL LAZAREV,UBNM5,9533880,22,8,2019-11-05 19:59:49.820
124,273371910,VEGA/PT82007 ,UBOM4,0,117,17,2019-11-16 14:59:19.193
125,273372630,"",---,,29,11,
126,273372720,IRBIS               ,UBNM6  ,9688881,27,9,2020-02-11 09:59:58.577
127,273372960,SPK-7/15,UBHN6,0,75,20,2020-02-11 09:59:40.530
128,273373130,SKIF,"",,30,8,2020-02-11 09:52:14.620
129,273373350,LK-88,"",,22,6,2020-01-15 15:22:56.380
130,273373520,KERCHENSKIY-2,UBMM6,7741017,77,12,2020-02-11 09:58:24.160
131,273373620,KAPITAN GORBENKO,"",8834653,25,6,2020-02-11 09:59:51.490
132,273373720,ADMIRAL SEREBRYAKOV ,UBNM7  ,9533892,22,8,2019-12-28 14:47:00.607
133,273373890,LINTER,UBUN6,0,20,8,2020-02-11 09:59:03.947
134,273374250,PHOENIX 1           ,UBDN3  ,,20,8,2020-02-11 09:56:39.337
135,273374330,VIKTOR LYAGIN, ,8929795,29,8,2020-02-11 09:57:09.070
136,273374650,KRIPTON,-------,,180,20,2020-02-11 09:59:42.353
137,273374740,VINOGRADNOE,USHY,822706800,55,10,2020-02-05 19:59:57.607
138,273375130,SKAT,"",,30,7,2020-02-11 09:55:38.797
140,273375340,V.ZARUDNIY,UBZM3,,18,5,2020-02-08 10:30:52.497
141,273375630,TORRES              ,UBSM6  ,7000712,27,7,2020-02-11 09:55:43.433
142,273376330,PELAMIDA            ,"",8724078,12,7,2020-02-11 09:59:42.507
143,273376340,ODESSA,UBZM4,0,30,9,2020-02-06 17:25:52.153
144,273376630,SPK19/16            ,UBSM7  ,,34,16,2020-02-11 09:52:54.123
145,273377330,PINGVIN,----,,34,7,2020-02-11 08:21:02.197
146,273378180,PROTOPOROS IV,UBNN9,9688611,98,16,2020-02-11 09:59:04.187
147,273378250,IVAN KRASNOSELSKIY,UBDN4,,30,8,2020-02-11 09:46:57.347
148,273378330,TSISKARA            ,       ,,30,6,2020-02-11 09:43:39.877
149,273378480,MITRIDAT,0000,0,20,5,2020-02-11 09:38:54.673
150,273379650,RM 3,UBEN8,8877241,108,16,2020-01-16 19:51:56.530
151,273379990,SCHS NOVOAZOVETZ,00000,,30,7,2020-02-11 09:55:15.930
152,273380640,GRUPER,"",,22,8,2020-02-04 16:24:10.843
153,273380810,MARIA               ,UBXN5  ,9617923,104,18,2020-02-11 09:59:50.010
154,273382960,GRIFON,1234567,,12,0,2020-02-07 09:46:51.983
155,273383070,VITYAZ              ,UBUO2  ,8316780,124,20,2020-02-11 09:57:31.897
156,273383430,VOLNA               ,UBEO4  ,0,20,5,2020-02-11 09:59:39.783
157,273383840,MB LINTER 2,UDAE,8318166,26,9,2020-01-25 02:25:58.537
